City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
489,Kobyli,CZ,80.65,broken clouds,48.9329,16.8916,Hotel Kraví Hora
500,Jinchang,CN,78.96,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
505,Miram Shah,PK,87.93,broken clouds,33.0086,70.0697,Bachelor Hostel
508,Statesboro,US,87.94,clear sky,32.4488,-81.7832,Holiday Inn Statesboro-University Area
509,Klaeng,TH,88.14,overcast clouds,12.7797,101.6483,Damrongcheep in Resort
513,Ankpa,NG,80.53,overcast clouds,7.3706,7.6253,AA Suites
515,Acarau,BR,87.44,clear sky,-2.8856,-40.12,castelo pizzaria
516,Cravo Norte,CO,80.62,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
522,Huambo,AO,78.6,clear sky,-12.7761,15.7392,SiSHotel
523,Ridgecrest,US,88.43,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
525,Caravelas,BR,78.31,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
527,Santa Isabel,BR,77.76,clear sky,-23.3156,-46.2214,Chácara Sombra do Altíssimo
529,Padang,ID,76.17,overcast clouds,-0.9492,100.3543,Mercure Padang
551,Madingou,CG,88.97,broken clouds,-4.1536,13.55,HOTEL KIM ELISA
552,Baba Ana,RO,78.85,broken clouds,44.9667,26.45,Popleaca Anghel Cristian
553,Morristown,US,84.83,clear sky,36.214,-83.2949,Days Inn by Wyndham Morristown
554,Domoni,KM,78.19,light rain,-12.2569,44.5319,Al Djadid
561,Inayagan,PH,80.55,broken clouds,10.2348,123.76899999999999,Tubod Flowing Water Resort
568,Batticaloa,LK,82.62,broken clouds,7.7102,81.6924,Grand Star Guest House
570,Beyneu,KZ,86.94,scattered clouds,45.3167,55.2,NUR
571,Matara,LK,79.0,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
575,Acapulco,MX,86.32,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
580,Siderno,IT,79.77,overcast clouds,38.2779,16.302,Grand Hotel President
587,Powell,US,84.9,clear sky,40.1578,-83.0752,The Brig
588,Maihar,IN,87.03,broken clouds,24.2667,80.75,Mrig Van Resort
593,Manokwari,ID,77.52,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
594,Kindu,CD,80.29,broken clouds,-2.95,25.95,Résidence Okanda
596,Dok Kham Tai,TH,75.34,moderate rain,19.1624,99.9934,VC Hotel Phayao
